"","x","y","z","a","h","g","seg"
"176",0.00886427031681345,0,0.00161634323754935,0.000808171618774675,1.0204,1.01616843617118,6
"177",0.0080584275607395,0,0.001828635446896,0.000914317723448,1.0204,1.01616843617118,7
"178",0.00725258480466555,0,0.00179896694037408,0.00089948347018704,1.0204,1.01616843617118,8
"179",0.0064467420485916,0,0.001767178643788,0.000883589321894,1.0204,1.01616843617118,9
"180",0.00564089929251765,0,0.00178574569904201,0.000892872849521005,1.0204,1.01616843617118,10
"181",0.0048350565364437,0,0.00170360882733582,0.00085180441366791,1.0204,1.01616843617118,11
"182",0.00402921378036975,0,0.00165600901932835,0.000828004509664175,1.0204,1.01616843617118,12
"183",0.0032233710242958,0,0.00157056500552793,0.000785282502763965,1.0204,1.01616843617118,13
"184",0.00241752826822185,0,0.00150531532464288,0.00075265766232144,1.0204,1.01616843617118,14
"185",0.0016116855121479,0,0.00139118761580871,0.000695593807904355,1.0204,1.01616843617118,15
"186",0.00080584275607395,0,0.00131402352209512,0.00065701176104756,1.0204,1.01616843617118,16
"187",0,0,0.00109156027287683,0.000545780136438415,1.0204,1.01616843617118,17
"188",0.0178694312006408,0,0,0,1.0204,1.01616843617118,1
"189",0.0167525917506007,0,0.00174813977690316,0.00087406988845158,1.0204,1.01616843617118,2
"190",0.0156357523005607,0,0.00184224986690045,0.000921124933450225,1.0204,1.01616843617118,3
"191",0.0145189128505207,0,0.00216166718563395,0.00108083359281697,1.0204,1.01616843617118,4
"192",0.0134020734004806,0,0.00218520918365378,0.00109260459182689,1.0204,1.01616843617118,5
"193",0.0122852339504406,0,0.00226707752166721,0.00113353876083361,1.0204,1.01616843617118,6
"194",0.0111683945004005,0,0.00243672063918211,0.00121836031959106,1.0204,1.01616843617118,7
"195",0.0100515550503605,0,0.0023663539208764,0.0011831769604382,1.0204,1.01616843617118,8
"196",0.0089347156003204,0,0.00243310075046662,0.00121655037523331,1.0204,1.01616843617118,9
"197",0.00781787615028035,0,0.00244103544191324,0.00122051772095662,1.0204,1.01616843617118,10
"198",0.0067010367002403,0,0.00239133466965232,0.00119566733482616,1.0204,1.01616843617118,11
"199",0.00558419725020025,0,0.00245823902247974,0.00122911951123987,1.0204,1.01616843617118,12
"200",0.0044673578001602,0,0.00236635447641135,0.00118317723820568,1.0204,1.01616843617118,13
"201",0.00335051835012015,0,0.00224243076437477,0.00112121538218738,1.0204,1.01616843617118,14
"202",0.0022336789000801,0,0.00225976323082739,0.00112988161541369,1.0204,1.01616843617118,15
"203",0.00111683945004005,0,0.00217707011850635,0.00108853505925318,1.0204,1.01616843617118,16
"204",0,0,0.00163443817319332,0.00081721908659666,1.0204,1.01616843617118,17
"205",0.0176554669738935,0,0,0,1.0204,1.01616432277848,1
"206",0.0165520002880252,0,0.00222515495340204,0.00111257747670102,1.0204,1.01616432277848,2
"207",0.0154485336021568,0,0.00143646506732971,0.000718232533664855,1.0204,1.01616432277848,3
"208",0.0143450669162885,0,0.00100430130820599,0.000502150654102995,1.0204,1.01616432277848,4
"209",0.0132416002304201,0,0.000751902517258151,0.000375951258629076,1.0204,1.01616432277848,5
"210",0.0121381335445518,0,0.00083237297872673,0.000416186489363365,1.0204,1.01616432277848,6
"211",0.0110346668586834,0,0.00132465709824915,0.000662328549124575,1.0204,1.01616432277848,7
"212",0.00993120017281509,0,0.00163670512140532,0.00081835256070266,1.0204,1.01616432277848,8
"213",0.00882773348694675,0,0.00203936997665512,0.00101968498832756,1.0204,1.01616432277848,9
"214",0.00772426680107841,0,0.00244362689379073,0.00122181344689536,1.0204,1.01616432277848,10
"215",0.00662080011521006,0,0.00283445874205939,0.0014172293710297,1.0204,1.01616432277848,11
"216",0.00551733342934172,0,0.00340240260262437,0.00170120130131218,1.0204,1.01616432277848,12
"217",0.00441386674347337,0,0.00381343517199643,0.00190671758599822,1.0204,1.01616432277848,13
"218",0.00331040005760503,0,0.00408245311167083,0.00204122655583542,1.0204,1.01616432277848,14
"219",0.00220693337173669,0,0.00445881892916252,0.00222940946458126,1.0204,1.01616432277848,15
"220",0.00110346668586834,0,0.00484325166243643,0.00242162583121821,1.0204,1.01616432277848,16
"221",0,0,0.0047735313474032,0.0023867656737016,1.0204,1.01616432277848,17
"222",0.020424390484682,0,0,0,1.0204,1.02054381909777,1
"223",0.0191478660793894,0,0.00126240915200911,0.000631204576004555,1.0204,1.02054381909777,2
"224",0.0178713416740967,0,0.00107629176923638,0.00053814588461819,1.0204,1.02054381909777,3
"225",0.0165948172688041,0,0.00118730210001324,0.00059365105000662,1.0204,1.02054381909777,4
"226",0.0153182928635115,0,0.00137268465701175,0.000686342328505875,1.0204,1.02054381909777,5
"227",0.0140417684582189,0,0.00180655493794152,0.00090327746897076,1.0204,1.02054381909777,6
"228",0.0127652440529262,0,0.00192753341732871,0.000963766708664355,1.0204,1.02054381909777,7
"229",0.0114887196476336,0,0.00223615514316094,0.00111807757158047,1.0204,1.02054381909777,8
"230",0.010212195242341,0,0.00251435293457825,0.00125717646728912,1.0204,1.02054381909777,9
"231",0.00893567083704837,0,0.0027463636024287,0.00137318180121435,1.0204,1.02054381909777,10
"232",0.00765914643175575,0,0.00300196799028784,0.00150098399514392,1.0204,1.02054381909777,11
"233",0.00638262202646312,0,0.0031756634682688,0.0015878317341344,1.0204,1.02054381909777,12
"234",0.0051060976211705,0,0.00336434491142561,0.0016821724557128,1.0204,1.02054381909777,13
"235",0.00382957321587788,0,0.00348627301395931,0.00174313650697966,1.0204,1.02054381909777,14
"236",0.00255304881058525,0,0.00355693887382845,0.00177846943691423,1.0204,1.02054381909777,15
"237",0.00127652440529262,0,0.00366906530641629,0.00183453265320814,1.0204,1.02054381909777,16
"238",0,0,0.00338828532780515,0.00169414266390257,1.0204,1.02054381909777,17
"239",0.0119817295504,0,0,0,1.0204,1.02054381909777,1
"240",0.0112328714535,0,0.0007579457168,0.0003789728584,1.0204,1.02054381909777,2
"241",0.0104840133566,0,0.0009187492133,0.00045937460665,1.0204,1.02054381909777,3
"242",0.0097351552597,0,0.0009909563034,0.0004954781517,1.0204,1.02054381909777,4
"243",0.0089862971628,0,0.0010488195967,0.00052440979835,1.0204,1.02054381909777,5
"244",0.0082374390659,0,0.0011416061849,0.00057080309245,1.0204,1.02054381909777,6
"245",0.007488580969,0,0.0013422891636,0.0006711445818,1.0204,1.02054381909777,7
"246",0.0067397228721,0,0.0014480932713,0.00072404663565,1.0204,1.02054381909777,8
"247",0.0059908647752,0,0.0015742946479,0.00078714732395,1.0204,1.02054381909777,9
"248",0.0052420066783,0,0.0017342944746,0.0008671472373,1.0204,1.02054381909777,10
"249",0.0044931485814,0,0.001790183424,0.000895091712,1.0204,1.02054381909777,11
"250",0.0037442904845,0,0.0018550688352,0.0009275344176,1.0204,1.02054381909777,12
"251",0.0029954323876,0,0.0018378541682,0.0009189270841,1.0204,1.02054381909777,13
"252",0.0022465742907,0,0.0018053288853,0.00090266444265,1.0204,1.02054381909777,14
"253",0.0014977161938,0,0.0019222517252,0.0009611258626,1.0204,1.02054381909777,15
"254",0.0007488580969,0,0.0019901264514,0.0009950632257,1.0204,1.02054381909777,16
"255",0,0,0.00174718387,0.000873591935,1.0204,1.02054381909777,17
"256",0.0159234788395672,0,0,0,1.0204,1.02054381909777,1
"257",0.0149282614120942,0,0.000969495222049499,0.00048474761102475,1.0204,1.02054381909777,2
"258",0.0139330439846213,0,0.00102604137784328,0.00051302068892164,1.0204,1.02054381909777,3
"259",0.0129378265571483,0,0.00114708643037699,0.000573543215188495,1.0204,1.02054381909777,4
"260",0.0119426091296754,0,0.00143630625284027,0.000718153126420135,1.0204,1.02054381909777,5
"261",0.0109473917022024,0,0.00162549076570098,0.00081274538285049,1.0204,1.02054381909777,6
"262",0.0099521742747295,0,0.00169195721438415,0.000845978607192075,1.0204,1.02054381909777,7
"263",0.00895695684725655,0,0.00177779132906595,0.000888895664532975,1.0204,1.02054381909777,8
"264",0.0079617394197836,0,0.00193803579908098,0.00096901789954049,1.0204,1.02054381909777,9
"265",0.00696652199231065,0,0.00209186099459563,0.00104593049729781,1.0204,1.02054381909777,10
"266",0.0059713045648377,0,0.00236013071179969,0.00118006535589985,1.0204,1.02054381909777,11
"267",0.00497608713736475,0,0.00245138424901966,0.00122569212450983,1.0204,1.02054381909777,12
"268",0.0039808697098918,0,0.00261388190140978,0.00130694095070489,1.0204,1.02054381909777,13
"269",0.00298565228241885,0,0.00266590664613132,0.00133295332306566,1.0204,1.02054381909777,14
"270",0.0019904348549459,0,0.00270900322867484,0.00135450161433742,1.0204,1.02054381909777,15
"271",0.00099521742747295,0,0.00275832613974794,0.00137916306987397,1.0204,1.02054381909777,16
"272",0,0,0.0021980242699363,0.00109901213496815,1.0204,1.02054381909777,17
"273",0.0104805295037541,0,0,0,1.0204,1.02054381909777,1
"274",0.00982549640976947,0,0.000695161574611877,0.000347580787305938,1.0204,1.02054381909777,2
"275",0.00917046331578484,0,0.000565250136851033,0.000282625068425516,1.0204,1.02054381909777,3
"276",0.00851543022180021,0,0.000510912691762128,0.000255456345881064,1.0204,1.02054381909777,4
"277",0.00786039712781558,0,0.000554942273547595,0.000277471136773797,1.0204,1.02054381909777,5
"278",0.00720536403383094,0,0.000614313291418218,0.000307156645709109,1.0204,1.02054381909777,6
"279",0.00655033093984631,0,0.000859702085899849,0.000429851042949925,1.0204,1.02054381909777,7
"280",0.00589529784586168,0,0.00117816520264527,0.000589082601322635,1.0204,1.02054381909777,8
"281",0.00524026475187705,0,0.00148261844839233,0.000741309224196165,1.0204,1.02054381909777,9
"282",0.00458523165789242,0,0.00161861548854897,0.000809307744274485,1.0204,1.02054381909777,10
"283",0.00393019856390779,0,0.00183547639438874,0.00091773819719437,1.0204,1.02054381909777,11
"284",0.00327516546992316,0,0.00202061399393607,0.00101030699696803,1.0204,1.02054381909777,12
"285",0.00262013237593852,0,0.00214351339990536,0.00107175669995268,1.0204,1.02054381909777,13
"286",0.00196509928195389,0,0.00227614733115004,0.00113807366557502,1.0204,1.02054381909777,14
"287",0.00131006618796926,0,0.00234876086249162,0.00117438043124581,1.0204,1.02054381909777,15
"288",0.000655033093984631,0,0.00233533643069704,0.00116766821534852,1.0204,1.02054381909777,16
"289",0,0,0.00202999028419161,0.00101499514209581,1.0204,1.02054381909777,17
"290",0.0174717089811466,0,0,0,1.0204,1.02552716633142,1
"291",0.0163797271698249,0,0.0013215966785696,0.0006607983392848,1.0204,1.02552716633142,2
"292",0.0152877453585033,0,0.0014337401676203,0.00071687008381015,1.0204,1.02552716633142,3
"293",0.0141957635471816,0,0.00174416697892032,0.00087208348946016,1.0204,1.02552716633142,4
"294",0.01310378173586,0,0.00209314306413898,0.00104657153206949,1.0204,1.02552716633142,5
"295",0.0120117999245383,0,0.00224682946765551,0.00112341473382775,1.0204,1.02552716633142,6
"296",0.0109198181132166,0,0.00231451866744427,0.00115725933372214,1.0204,1.02552716633142,7
"297",0.00982783630189496,0,0.0022819861345484,0.0011409930672742,1.0204,1.02552716633142,8
"298",0.0087358544905733,0,0.00217923179367009,0.00108961589683504,1.0204,1.02552716633142,9
"299",0.00764387267925164,0,0.00202147436985549,0.00101073718492774,1.0204,1.02552716633142,10
"300",0.00655189086792998,0,0.0022240503127952,0.0011120251563976,1.0204,1.02552716633142,11
"301",0.00545990905660831,0,0.00231746042116223,0.00115873021058112,1.0204,1.02552716633142,12
"302",0.00436792724528665,0,0.00243413585220694,0.00121706792610347,1.0204,1.02552716633142,13
"303",0.00327594543396499,0,0.00244789602650189,0.00122394801325095,1.0204,1.02552716633142,14
"304",0.00218396362264333,0,0.00247547663551502,0.00123773831775751,1.0204,1.02552716633142,15
"305",0.00109198181132166,0,0.00248953648676096,0.00124476824338048,1.0204,1.02552716633142,16
"306",0,0,0.00226621716646714,0.00113310858323357,1.0204,1.02552716633142,17
"307",0.0178867187332622,0,0,0,1.0204,1.02552716633142,1
"308",0.0167687988124333,0,0.00138780587799056,0.00069390293899528,1.0204,1.02552716633142,2
"309",0.0156508788916044,0,0.00143070357067356,0.00071535178533678,1.0204,1.02552716633142,3
"310",0.0145329589707755,0,0.001533404598935,0.0007667022994675,1.0204,1.02552716633142,4
"311",0.0134150390499466,0,0.00172075770437837,0.000860378852189185,1.0204,1.02552716633142,5
"312",0.0122971191291178,0,0.0018977685755972,0.0009488842877986,1.0204,1.02552716633142,6
"313",0.0111791992082889,0,0.00202510157735639,0.0010125507886782,1.0204,1.02552716633142,7
"314",0.01006127928746,0,0.00213150548156612,0.00106575274078306,1.0204,1.02552716633142,8
"315",0.0089433593666311,0,0.00220925299550546,0.00110462649775273,1.0204,1.02552716633142,9
"316",0.00782543944580221,0,0.00232348198097824,0.00116174099048912,1.0204,1.02552716633142,10
"317",0.00670751952497332,0,0.00241989349399922,0.00120994674699961,1.0204,1.02552716633142,11
"318",0.00558959960414444,0,0.00241899003290634,0.00120949501645317,1.0204,1.02552716633142,12
"319",0.00447167968331555,0,0.00244171796324363,0.00122085898162181,1.0204,1.02552716633142,13
"320",0.00335375976248666,0,0.002295980131198,0.001147990065599,1.0204,1.02552716633142,14
"321",0.00223583984165778,0,0.00223687852343215,0.00111843926171607,1.0204,1.02552716633142,15
"322",0.00111791992082889,0,0.00212741699326325,0.00106370849663162,1.0204,1.02552716633142,16
"323",0,0,0.00176123264924152,0.00088061632462076,1.0204,1.02552716633142,17
"324",0.0164219095831521,0,0,0,1.0204,1.02552716633142,1
"325",0.0153955402342051,0,0.00117409517229981,0.000587047586149905,1.0204,1.02552716633142,2
"326",0.0143691708852581,0,0.000943918093694576,0.000471959046847288,1.0204,1.02552716633142,3
"327",0.0133428015363111,0,0.000769648235507096,0.000384824117753548,1.0204,1.02552716633142,4
"328",0.0123164321873641,0,0.000898798973659563,0.000449399486829781,1.0204,1.02552716633142,5
"329",0.0112900628384171,0,0.00114863645792622,0.00057431822896311,1.0204,1.02552716633142,6
"330",0.0102636934894701,0,0.0015476479097782,0.0007738239548891,1.0204,1.02552716633142,7
"331",0.00923732414052306,0,0.00175536137265221,0.000877680686326105,1.0204,1.02552716633142,8
"332",0.00821095479157605,0,0.00206065502486811,0.00103032751243405,1.0204,1.02552716633142,9
"333",0.00718458544262904,0,0.00232142530329871,0.00116071265164936,1.0204,1.02552716633142,10
"334",0.00615821609368204,0,0.00260043293516459,0.0013002164675823,1.0204,1.02552716633142,11
"335",0.00513184674473503,0,0.00278388519425387,0.00139194259712694,1.0204,1.02552716633142,12
"336",0.00410547739578803,0,0.00298412109360841,0.0014920605468042,1.0204,1.02552716633142,13
"337",0.00307910804684102,0,0.00311054508540148,0.00155527254270074,1.0204,1.02552716633142,14
"338",0.00205273869789401,0,0.00336611048624079,0.00168305524312039,1.0204,1.02552716633142,15
"339",0.00102636934894701,0,0.00334605807262392,0.00167302903631196,1.0204,1.02552716633142,16
"340",0,0,0.00313828140494911,0.00156914070247455,1.0204,1.02552716633142,17
"341",0.0139619491122621,0,0,0,1.0204,1.02552716633142,1
"342",0.0130893272927457,0,0.000849327182920393,0.000424663591460197,1.0204,1.02552716633142,2
"343",0.0122167054732293,0,0.000905812267295831,0.000452906133647915,1.0204,1.02552716633142,3
"344",0.011344083653713,0,0.00104601812897882,0.00052300906448941,1.0204,1.02552716633142,4
"345",0.0104714618341966,0,0.00121320551032029,0.000606602755160145,1.0204,1.02552716633142,5
"346",0.00959884001468019,0,0.00143501321228835,0.000717506606144175,1.0204,1.02552716633142,6
"347",0.00872621819516381,0,0.0016118873660534,0.0008059436830267,1.0204,1.02552716633142,7
"348",0.00785359637564743,0,0.00178758957899591,0.000893794789497955,1.0204,1.02552716633142,8
"349",0.00698097455613105,0,0.00187824001803877,0.000939120009019385,1.0204,1.02552716633142,9
"350",0.00610835273661467,0,0.00206174221031956,0.00103087110515978,1.0204,1.02552716633142,10
"351",0.00523573091709829,0,0.00217492443933792,0.00108746221966896,1.0204,1.02552716633142,11
"352",0.00436310909758191,0,0.0022247861473121,0.00111239307365605,1.0204,1.02552716633142,12
"353",0.00349048727806553,0,0.00223599036080291,0.00111799518040145,1.0204,1.02552716633142,13
"354",0.00261786545854914,0,0.00231997469316885,0.00115998734658443,1.0204,1.02552716633142,14
"355",0.00174524363903276,0,0.00235973304149814,0.00117986652074907,1.0204,1.02552716633142,15
"356",0.000872621819516381,0,0.00240397880126612,0.00120198940063306,1.0204,1.02552716633142,16
"357",0,0,0.00216644742836657,0.00108322371418328,1.0204,1.02552716633142,17
