"frequency_hz","frequency_khz","ka","f_bs_real_acousticts","f_bs_imag_acousticts","sigma_bs_acousticts","TS_acousticts","f_bs_real_echopop","f_bs_imag_echopop","sigma_bs_echopop","TS_echopop","f_bs_real_zooscatr","f_bs_imag_zooscatr","sigma_bs_zooscatr","TS_zooscatr"
52000,52,0.217817090648892,-9.7321687468731e-07,2.33735964786752e-09,9.47156548426259e-13,-120.235782337752,-9.73216377332645e-07,2.33696523972081e-09,9.47155578515009e-13,-120.235786785035,-9.73216874687311e-07,2.33735964786839e-09,9.4715654842626e-13,-120.235782337752
54000,54,0.226194671058465,-5.32123141924485e-07,2.38060732637334e-09,2.83160705462828e-13,-125.479670143463,-5.32125202936156e-07,2.38024821265132e-09,2.83162897181399e-13,-125.479636528361,-5.32123141924485e-07,2.3806073263726e-09,2.83160705462828e-13,-125.479670143463
56000,56,0.234572251468038,-5.08130323918117e-08,2.39593615063795e-09,2.58770477088923e-15,-145.870852734776,-5.08182759628288e-08,2.39564377768212e-09,2.58823628094377e-15,-145.86996079307,-5.08130323918112e-08,2.39593615063994e-09,2.58770477088919e-15,-145.870852734776
58000,58,0.242949831877611,4.64583021663741e-07,2.38093377362675e-09,2.15843052863847e-13,-126.658619250084,4.64573935863184e-07,2.38074678074554e-09,2.15834609838644e-13,-126.658789134216,4.64583021663743e-07,2.3809337736269e-09,2.15843052863848e-13,-126.658619250084
60000,60,0.251327412287183,1.00706579397348e-06,2.33355827082828e-09,1.01418695888563e-12,-119.938819782098,1.00705218328116e-06,2.33352302822392e-09,1.01415954518107e-12,-119.938937174472,1.00706579397348e-06,2.33355827082976e-09,1.01418695888563e-12,-119.938819782098
62000,62,0.259704992696756,1.56886686702703e-06,2.25219143807545e-09,2.46134831882149e-12,-116.088269225679,1.56884804044118e-06,2.25236246940333e-09,2.46128924713283e-12,-116.088373456421,1.56886686702703e-06,2.25219143807618e-09,2.46134831882149e-12,-116.088269225679
64000,64,0.268082573106329,2.14156380851828e-06,2.13568672881629e-09,4.58630010711314e-12,-113.385375303739,2.14153908333825e-06,2.13612698750926e-09,4.58619420850374e-12,-113.385475584383,2.14156380851828e-06,2.13568672881738e-09,4.58630010711313e-12,-113.385375303739
66000,66,0.276460153515902,2.71620918779929e-06,1.98341089081197e-09,7.37779628580406e-12,-111.320733405937,2.71617790800802e-06,1.98419185865706e-09,7.37762636496814e-12,-111.320833431105,2.71620918779929e-06,1.98341089081212e-09,7.37779628580406e-12,-111.320733405937
68000,68,0.284837733925475,3.28347144511476e-06,1.79527844270892e-09,1.07811879539087e-11,-109.673333826185,3.28343300119095e-06,1.79648001934486e-09,1.07809355006503e-11,-109.673435522158,3.28347144511476e-06,1.7952784427089e-09,1.07811879539087e-11,-109.673333826185
70000,70,0.293215314335047,3.83378540340357e-06,1.57177822624236e-09,1.4697912989837e-11,-108.327443279283,3.83373925318944e-06,1.57348837905503e-09,1.46975591373112e-11,-108.327547837018,3.83378540340357e-06,1.57177822624142e-09,1.4697912989837e-11,-108.327443279283
72000,72,0.30159289474462,4.35751002392216e-06,1.31399137878319e-09,1.89878953351554e-11,-107.215231708598,4.35745571411548e-06,1.31630552456402e-09,1.89874220331379e-11,-107.215339964417,4.35751002392215e-06,1.31399137878449e-09,1.89878953351554e-11,-107.215231708598
74000,74,0.309970475154193,4.84509085620453e-06,1.02360019211069e-09,2.34749064526341e-11,-106.293961297194,4.8450280439936e-06,1.02662028454383e-09,2.34742978010336e-11,-106.294073901459,4.84509085620453e-06,1.02360019211073e-09,2.34749064526341e-11,-106.293961297194
76000,76,0.318348055563766,5.28722452267196e-06,7.02887455088371e-10,2.79547436471946e-11,-105.535444859887,5.28715299699006e-06,7.06720755899496e-10,2.79539873130352e-11,-105.535562362734,5.28722452267196e-06,7.02887455088577e-10,2.79547436471945e-11,-105.535444859887
78000,78,0.326725635973339,5.67502251065388e-06,3.54726018503041e-10,3.22058806222589e-11,-104.920648212043,5.67494221249784e-06,3.59483534879718e-10,3.22049692444182e-11,-104.920771112569,5.67502251065389e-06,3.54726018502152e-10,3.22058806222589e-11,-104.920648212043
80000,80,0.335103216382911,6.00017152111683e-06,-1.7441532189559e-11,3.60020582831257e-11,-104.436726693591,6.000082562353e-06,-1.16469555324849e-11,3.60009907551882e-11,-104.436855471885,6.00017152111683e-06,-1.74415321891894e-11,3.60020582831257e-11,-104.436726693591
82000,82,0.343480796792484,6.25508764475812e-06,-4.09633058317352e-10,3.91261216114049e-11,-104.075331995372,6.25499032483027e-06,-4.02688997172626e-10,3.91249041258787e-11,-104.075467136667,6.25508764475812e-06,-4.09633058317155e-10,3.91261216114049e-11,-104.075331995372
84000,84,0.351858377202057,6.43306170232678e-06,-8.17366710905924e-10,4.13842835340319e-11,-103.831645591291,6.43295652228418e-06,-8.09163766693683e-10,4.13829302723445e-11,-103.831787607449,6.43306170232678e-06,-8.17366710906852e-10,4.13842835340319e-11,-103.831645591291
86000,86,0.36023595761163,6.52839319638799e-06,-1.23571008728588e-09,4.26199192536244e-11,-103.703873774219,6.52828086966975e-06,-1.22614482754315e-09,4.26184526167271e-11,-103.704023226231,6.52839319638798e-06,-1.23571008728546e-09,4.26199192536243e-11,-103.703873774219
88000,88,0.368613538021202,6.5365104748374e-06,-1.65933820057122e-09,4.27259719410623e-11,-103.693080490557,6.53639193428059e-06,-1.64831641351908e-09,4.27244222354753e-11,-103.693238015538,6.5365104748374e-06,-1.65933820057175e-09,4.27259719410623e-11,-103.693080490557
90000,90,0.376991118430775,6.4540749001931e-06,-2.08259961244289e-09,4.16550871545237e-11,-103.803319525231,6.45395130077741e-06,-2.07003984423434e-09,4.16534916778713e-11,-103.803485872254,6.4540749001931e-06,-2.08259961244394e-09,4.16550871545237e-11,-103.803319525231
92000,92,0.385368698840348,6.27906705027412e-06,-2.49958993768799e-09,3.94266892697879e-11,-104.042096898867,6.27893976717539e-06,-2.48542727007704e-09,3.94250907771652e-11,-104.04227298025,6.27906705027412e-06,-2.49958993768795e-09,3.94266892697879e-11,-104.042096898867
94000,94,0.393746279249921,6.01085324192054e-06,-2.90423179569023e-09,3.6130365130469e-11,-104.421276494658,6.01072386351757e-06,-2.88842181092682e-09,3.61288097064402e-11,-104.421463463877,6.01085324192054e-06,-2.90423179569179e-09,3.6130365130469e-11,-104.421276494658
96000,96,0.402123859659494,5.6502309659503e-06,-3.29036016209669e-09,3.19251207950536e-11,-104.958674508218,5.65010128151403e-06,-3.27288303050541e-09,3.19236552031298e-11,-104.958873885097,5.65023096595029e-06,-3.29036016209546e-09,3.19251207950536e-11,-104.958674508218
98000,98,0.410501440069066,5.19945214409571e-06,-3.65181196475667e-09,2.70343159344721e-11,-105.680846151634,5.19932412598575e-06,-3.63267657943702e-09,2.70329845633966e-11,-105.681060035851,5.19945214409571e-06,-3.65181196475594e-09,2.70343159344721e-11,-105.680846151634
1e+05,100,0.418879020478639,4.66222346228626e-06,-3.98251867413573e-09,2.17363434727475e-11,-106.628135119135,4.66209924258494e-06,-3.96176674642912e-09,2.17351850433068e-11,-106.628366580752,4.66222346228626e-06,-3.98251867413582e-09,2.17363434727475e-11,-106.628135119135
102000,102,0.427256600888212,4.04368339403667e-06,-4.27660056101866e-09,1.63513936805203e-11,-107.864452251466,4.0435652356644e-06,-4.25431058027623e-09,1.63504379142322e-11,-107.864706111268,4.04368339403667e-06,-4.27660056102082e-09,1.63513936805203e-11,-107.864452251466
104000,104,0.435634181297785,3.35035589726533e-06,-4.52846123519605e-09,1.12249051453018e-11,-109.498173202619,3.35024615974023e-06,-4.50475218726083e-09,1.12241696236464e-11,-109.498457787173,3.35035589726534e-06,-4.52846123519613e-09,1.12249051453018e-11,-109.498173202619
106000,106,0.444011761707357,2.590081141808e-06,-4.73288103913109e-09,6.70854272131239e-12,-111.733718102077,2.58998224193562e-06,-4.7079157698864e-09,6.70803017801277e-12,-111.734049922623,2.590081141808e-06,-4.73288103913379e-09,6.70854272131234e-12,-111.733718102078
