"frequency","ka_viscous","ka_shell","ka_gas","f_bs","sigma_bs","TS"
22000,0.38662261182,0.0939964521954066,0.0921533845053006,7.03804436456522e-05-0.00303535960046493i,9.21836131098235e-06,-50.3534627383238
23000,0.404196366902727,0.0982690182042887,0.096342174710087,-0.00398757955379444+0.00105164712393984i,1.70067523711304e-05,-47.6937861184053
24000,0.421770121985454,0.102541584213171,0.100530964914873,0.00207968708224545+0.00488464184407234i,2.81848243049211e-05,-45.4998466808669
25000,0.439343877068182,0.106814150222053,0.10471975511966,0.00512618287160007-0.00251590187003936i,3.26075130527535e-05,-44.8668232320118
26000,0.456917632150909,0.111086716230935,0.108908545324446,-0.00280786502924595-0.00423047704200027i,2.57810420253537e-05,-45.8869953319226
27000,0.474491387233636,0.115359282239817,0.113097335529233,-0.00277913227817975+0.00319061003052189i,1.79035685864875e-05,-47.470603956708
28000,0.492065142316363,0.119631848248699,0.117286125734019,0.00334080279532957+0.00122352423005956i,1.26579748588247e-05,-48.9763577125308
29000,0.509638897399091,0.123904414257581,0.121474915938805,-0.000216779177893997-0.00306148703824688i,9.41969609732203e-06,-50.259631083945
30000,0.527212652481818,0.128176980266464,0.125663706143592,-0.00234760344000828+0.00136034700974397i,7.36178589845806e-06,-51.3301681721675
31000,0.544786407564545,0.132449546275346,0.129852496348378,0.00205907523236451+0.00132289730048533i,5.98984808016837e-06,-52.2258419243227
32000,0.562360162647273,0.136722112284228,0.134041286553164,0.000187168292434627-0.00223544101272399i,5.03222849106134e-06,-52.9823964773882
33000,0.57993391773,0.14099467829311,0.138230076757951,-0.00190754660298947+0.000835465550911837i,4.3367367293371e-06,-53.628369418048
34000,0.597507672812727,0.145267244301992,0.142418866962737,0.00154839061952743+0.00119035846976653i,3.81446679718545e-06,-54.1856616104437
35000,0.615081427895454,0.149539810310874,0.146607657167524,0.000272845297933913-0.0018266617793581i,3.41113781277233e-06,-54.6710073438401
36000,0.632655182978182,0.153812376319756,0.15079644737231,-0.00164432349221115+0.00062323767190493i,3.09222494271895e-06,-55.0972892101884
37000,0.650228938060909,0.158084942328638,0.154985237577096,0.00129288292605522+0.00107861398741984i,2.83495439434283e-06,-55.4745392317127
38000,0.667802693143636,0.162357508337521,0.159174027781883,0.000289989092793098-0.00159365034738023i,2.62381510364409e-06,-55.8106677230565
39000,0.685376448226363,0.166630074346403,0.163362817986669,-0.0014765987761195+0.000517298715238355i,2.44794190642485e-06,-56.1119889290658
40000,0.702950203309091,0.170902640355285,0.167551608191456,0.00114454278940563+0.000994764202065617i,2.29953401449166e-06,-56.3836016199915
41000,0.720523958391818,0.175175206364167,0.171740398396242,0.000287140244119683-0.00144582782855545i,2.17286762961847e-06,-56.6296672995067
42000,0.738097713474545,0.179447772373049,0.175929188601028,-0.00136164360650466+0.000457807729012434i,2.06366122787855e-06,-56.8536159529024
