"case","frequency_hz","frequency_khz","ka","f_bs_real","f_bs_imag","sigma_bs","TS"
"straight",312000,312,1.32698423870577,-0.000195544683943949,1.65534106253816e-05,3.85117388220713e-08,-74.1440687234631
"straight",314000,314,1.33549054792824,-0.000194843909744329,1.67478453539087e-05,3.82446394884546e-08,-74.1742942858174
"straight",316000,316,1.34399685715071,-0.00019408663524503,1.69390867939416e-05,3.795655464215e-08,-74.2071321583934
"straight",318000,318,1.35250316637319,-0.000193272778460899,1.71269650390823e-05,3.76476998254458e-08,-74.2426155289309
"straight",320000,320,1.36100947559566,-0.000192402275641565,1.73113092851648e-05,3.73183171012193e-08,-74.2807794933426
"straight",322000,322,1.36951578481813,-0.000191475081299566,1.74919479304837e-05,3.6968675001078e-08,-74.3216611475101
"straight",324000,324,1.37802209404061,-0.000190491168233325,1.76687086778477e-05,3.65990684412397e-08,-74.3652996859406
"straight",326000,326,1.38652840326308,-0.000189450527545005,1.78414186383863e-05,3.62098186061109e-08,-74.4117365078537
"straight",328000,328,1.39503471248555,-0.000188353168653262,1.80099044370483e-05,3.58012727995558e-08,-74.4610153313273
"straight",330000,330,1.40354102170802,-0.000187199119300951,1.81739923197238e-05,3.5373804263889e-08,-74.513182316195
"straight",332000,332,1.4120473309305,-0.0001859884255578,1.83335082619174e-05,3.4927811966659e-08,-74.5682861964634
"straight",334000,334,1.42055364015297,-0.00018472115181809,1.84882780789054e-05,3.44637203553246e-08,-74.6263784230946
"straight",336000,336,1.42905994937544,-0.000183397380793389,1.86381275372966e-05,3.3981979079972e-08,-74.6875133180946
"straight",338000,338,1.43756625859792,-0.000182017213500351,1.87828824679242e-05,3.34830626842362e-08,-74.7517482409486
"straight",340000,340,1.44607256782039,-0.00018058076924363,1.89223688799904e-05,3.29674702646516e-08,-74.8191437685604
"straight",342000,342,1.45457887704286,-0.000179088185593945,1.90564130763815e-05,3.24357250986691e-08,-74.8897638899841
"straight",344000,344,1.46308518626533,-0.000177539618361331,1.91848417700743e-05,3.18883742416299e-08,-74.9636762173814
"straight",346000,346,1.47159149548781,-0.000175935241563597,1.93074822015455e-05,3.13259880930043e-08,-75.0409522148077
"straight",348000,348,1.48009780471028,-0.00017427524739005,1.94241622571056e-05,3.07491599322536e-08,-75.1216674466158
"straight",350000,350,1.48860411393275,-0.000172559846160507,1.95347105880624e-05,3.01585054246971e-08,-75.2059018474822
"straight",352000,352,1.49711042315523,-0.000170789266279623,1.96389567306325e-05,2.95546620977996e-08,-75.2937400163061
"straight",354000,354,1.5056167323777,-0.000168963754186594,1.97367312265048e-05,2.89382887883352e-08,-75.3852715365084
"straight",356000,356,1.51412304160017,-0.000167083574300252,1.98278657439709e-05,2.83100650609088e-08,-75.4805913255785
"straight",358000,358,1.52262935082264,-0.000165149008959581,1.99121931995234e-05,2.76706905983469e-08,-75.5798000170803
"straight",360000,360,1.53113566004512,-0.000163160358359718,1.99895478798346e-05,2.70208845645119e-08,-75.6830043787512
"straight",362000,362,1.53964196926759,-0.000161117940483441,2.00597655640154e-05,2.63613849401089e-08,-75.7903177708079
"straight",364000,364,1.54814827849006,-0.000159022091028195,2.01226836460628e-05,2.56929478320992e-08,-75.9018606491352
"straight",366000,366,1.55665458771254,-0.000156873163328694,2.01781412573974e-05,2.50163467573546e-08,-76.0177611186738
"straight",368000,368,1.56516089693501,-0.000154671528275111,2.02259793893941e-05,2.43323719012185e-08,-76.1381555430789
"straight",370000,370,1.57366720615748,-0.000152417574226916,2.02660410158079e-05,2.36418293516718e-08,-76.263189217587
"straight",372000,372,1.58217351537995,-0.000150111706922375,2.02981712149971e-05,2.29455403098224e-08,-76.3930171130505
"straight",374000,374,1.59067982460243,-0.000147754349383747,2.03222172918451e-05,2.22443402774713e-08,-76.5278047002843
"straight",376000,376,1.5991861338249,-0.000145345941818208,2.0338028899278e-05,2.15390782225298e-08,-76.6677288652712
"straight",378000,378,1.60769244304737,-0.000142886941514541,2.03454581592856e-05,2.08306157230912e-08,-76.8129789274122
"straight",380000,380,1.61619875226985,-0.00014037782273561,2.03443597833395e-05,2.01198260909842e-08,-76.9637577749545
"straight",382000,382,1.62470506149232,-0.000137819076606648,2.03345911921124e-05,1.94075934756595e-08,-77.1202831340284
"straight",384000,384,1.63321137071479,-0.000135211210999405,2.03160126343986e-05,1.86948119492866e-08,-77.2827889904669
"straight",386000,386,1.64171767993726,-0.000132554750412152,2.02884873051367e-05,1.79823845739586e-08,-77.4515271868483
"straight",388000,388,1.65022398915974,-0.000129850235845599,2.0251881462434e-05,1.72712224519262e-08,-77.6267692211193
"straight",390000,390,1.65873029838221,-0.000127098224674733,2.0206064543499e-05,1.65622437598051e-08,-77.808808277871
"straight",392000,392,1.66723660760468,-0.000124299290516608,2.01509092793778e-05,1.58563727677178e-08,-77.9979615290295
"straight",394000,394,1.67574291682716,-0.00012145402309411,2.00862918084022e-05,1.51545388443568e-08,-78.1945727476309
"straight",396000,396,1.68424922604963,-0.000118563028095727,2.00120917882544e-05,1.44576754489696e-08,-78.3990152867631
"straight",398000,398,1.6927555352721,-0.000115626927031335,1.99281925065465e-05,1.37667191112875e-08,-78.6116954860568
"straight",4e+05,400,1.70126184449457,-0.000112646357084033,1.98344809898295e-05,1.30826084004394e-08,-78.8330565807749
"bent",12000,12,0.0510378553348372,-8.27124901816206e-07,-2.43084375060342e-08,6.84726503338452e-13,-121.644828618057
"bent",14000,14,0.0595441645573101,-1.12488042922827e-06,-3.85470205384902e-08,1.26684185285317e-12,-118.972775972081
"bent",16000,16,0.068050473779783,-1.46784035067193e-06,-5.7452913886098e-08,2.1578561323747e-12,-116.659775137766
"bent",18000,18,0.0765567830022558,-1.85575045956937e-06,-8.16708868046955e-08,3.4504799019434e-12,-114.621204978915
"bent",20000,20,0.0850630922247287,-2.28832465684394e-06,-1.11838113741165e-07,5.24893749880511e-12,-112.799285985189
"bent",22000,22,0.0935694014472016,-2.76524535256432e-06,-1.48583508064145e-07,7.66865891874723e-12,-111.152805780473
"bent",24000,24,0.102075710669674,-3.28616387645457e-06,-1.92527068156549e-07,1.08359396948879e-11,-109.651334206055
"bent",26000,26,0.110582019892147,-3.85070089948584e-06,-2.44279236079285e-07,1.48875697624805e-11,-108.2717619042
"bent",28000,28,0.11908832911462,-4.45844686805203e-06,-3.04440269060883e-07,1.99704323526689e-11,-106.996125327084
"bent",30000,30,0.127594638337093,-5.10896245174861e-06,-3.73599624098221e-07,2.62410740125035e-11,-105.81018393833
"bent",32000,32,0.136100947559566,-5.80177900543485e-06,-4.52335355973845e-07,3.38652469021685e-11,-104.702457537249
"bent",34000,34,0.144607256782039,-6.53639904601384e-06,-5.41213529008327e-07,4.30174245727122e-11,-103.663555941192
"bent",36000,36,0.153113566004512,-7.31229674418086e-06,-6.40787642873783e-07,5.38802924782177e-11,-102.685700554633
"bent",38000,38,0.161619875226985,-8.12891843125065e-06,-7.51598072798268e-07,6.66442145249606e-11,-101.762375463093
"bent",40000,40,0.170126184449457,-8.98568312106487e-06,-8.74171524491365e-07,8.15066770064216e-11,-100.888068125083
"bent",42000,42,0.17863249367193,-9.88198304689284e-06,-1.00902050411924e-06,9.86717113168105e-11,-100.058073395285
"bent",44000,44,0.187138802894403,-1.081718421317e-05,-1.15664280365381e-06,1.18349296876897e-10,-99.2683431790719
"bent",46000,46,0.195645112116876,-1.17906269618577e-05,-1.31752100191498e-06,1.40754745744172e-10,-98.5153695338063
"bent",48000,48,0.204151421339349,-1.28016265531625e-05,-1.49212198161844e-06,1.66108070414664e-10,-97.7960926669725
"bent",50000,50,0.212657730561822,-1.38494737603095e-05,-1.68089646273341e-06,1.94633336355932e-10,-97.1078277272391
"bent",52000,52,0.221164039784295,-1.49334354780303e-05,-1.88427855244612e-06,2.26558000839702e-10,-96.4482059621188
"bent",54000,54,0.229670349006768,-1.60527553443961e-05,-2.10268531201531e-06,2.62112239668403e-10,-95.8151269864006
"bent",56000,56,0.23817665822924,-1.72066543755997e-05,-2.33651634079543e-06,3.01528263412147e-10,-95.2067197351175
"bent",58000,58,0.246682967451713,-1.83943316132656e-05,-2.58615337769276e-06,3.45039624791732e-10,-94.62131027129
"bent",60000,60,0.255189276674186,-1.96149647838491e-05,-2.85195992030788e-06,3.92880518858682e-10,-94.0573950532393
"bent",62000,62,0.263695585896659,-2.08677109696645e-05,-3.13428086200616e-06,4.45285077635396e-10,-93.5136185867339
"bent",64000,64,0.272201895119132,-2.21517072910681e-05,-3.4334421471457e-06,5.02486660886958e-10,-92.9887546262405
"bent",66000,66,0.280708204341605,-2.34660715993031e-05,-3.74975044467874e-06,5.64717144700988e-10,-92.4816902696827
"bent",68000,68,0.289214513564078,-2.48099031795062e-05,-4.0834928403306e-06,6.32206209553502e-10,-91.9914124281853
"bent",70000,70,0.29772082278655,-2.61822834633564e-05,-4.43493654754519e-06,7.05180629536297e-10,-91.5169962575592
"bent",72000,72,0.306227132009023,-2.75822767508403e-05,-4.80432863737371e-06,7.83863564415833e-10,-91.0575952198101
"bent",74000,74,0.314733441231496,-2.9008930940597e-05,-5.19189578746824e-06,8.68473856184258e-10,-90.6124325066053
"bent",76000,76,0.323239750453969,-3.04612782682944e-05,-5.59784405032765e-06,9.59225331750256e-10,-90.1807936067017
"bent",78000,78,0.331746059676442,-3.19383360524849e-05,-6.02235864092924e-06,1.05632611340143e-09,-89.7620198389853
"bent",80000,80,0.340252368898915,-3.3439107447374e-05,-6.46560374386335e-06,1.15997793864969e-09,-89.3555027044016
"bent",82000,82,0.348758678121388,-3.4962582201939e-05,-6.92772234007488e-06,1.27037549104852e-09,-88.9606789354187
"bent",84000,84,0.357264987343861,-3.65077374248168e-05,-7.40883605329887e-06,1.38770574354403e-09,-88.5770261421487
"bent",86000,86,0.365771296566333,-3.80735383543845e-05,-7.90904501626257e-06,1.51214731589205e-09,-88.2040589708715
"bent",88000,88,0.374277605788806,-3.96589391334466e-05,-8.42842775671048e-06,1.64386984764051e-09,-87.8413257042682
"bent",90000,90,0.382783915011279,-4.12628835879409e-05,-8.96704110329376e-06,1.78303338814013e-09,-87.4884052437975
"bent",92000,92,0.391290224233752,-4.28843060090696e-05,-9.52492011134828e-06,1.92978780500709e-09,-87.144904423813
"bent",94000,94,0.399796533456225,-4.45221319382619e-05,-1.01020780085707e-05,2.08427221241925e-09,-86.8104556146115
"bent",96000,96,0.408302842678698,-4.61752789543712e-05,-1.06985061605852e-05,2.24661442058207e-09,-86.484714577912
"bent",98000,98,0.416809151901171,-4.78426574625082e-05,-1.13141740563778e-05,2.41693040765291e-09,-86.167358543534
"bent",1e+05,100,0.425315461123644,-4.95231714839092e-05,-1.19490293135571e-05,2.59532381536092e-09,-85.8580844804641
"bent",102000,102,0.433821770346116,-5.12157194462428e-05,-1.26029977033879e-05,2.78188546950785e-09,-85.5566075392148
"bent",104000,104,0.442328079568589,-5.29191949737517e-05,-1.32759831955225e-05,2.97669292647775e-09,-85.2626596455203
