frequency,ka,acousticTS,echoSMs,sphereTS,noaa_applet
88000.0,7.12998839027676,-42.0284337784756,-42.02843377847559,-42.02843377847704,-42.028433778475545
89000.0,7.21101098562082,-42.8646182953729,-42.86461829537305,-42.8646182953766,-42.86461829537303
90000.0,7.29203358096487,-45.4806800232372,-45.4806800232375,-45.480680023237205,-45.48068002323742
91000.0,7.37305617630892,-66.3638468938104,-66.36384689377597,-66.36384689377276,-66.36384689377753
92000.0,7.45407877165298,-40.0060272759,-40.00602727590257,-40.00602727589991,-40.006027275902376
93000.0,7.53510136699703,-38.5446101564463,-38.54461015645012,-38.544610156446225,-38.54461015645004
94000.0,7.61612396234109,-38.984724750989,-38.9847247509948,-38.9847247509891,-38.98472475099487
95000.0,7.69714655768514,-39.4577170840643,-39.45771708406387,-39.45771708405494,-39.45771708406393
96000.0,7.77816915302919,-39.8048983866124,-39.80489838661173,-39.80489838659816,-39.80489838661184
97000.0,7.85919174837325,-40.0005855425107,-40.000585542509874,-40.00058554249022,-40.00058554250997
98000.0,7.9402143437173,-40.0468542055013,-40.046854205500125,-40.04685420547314,-40.04685420550017
99000.0,8.02123693906136,-39.9703248756616,-39.97032487566017,-39.970324875661696,-39.97032487566019
100000.0,8.10225953440541,-39.816241813098,-39.81624181309614,-39.81624181309804,-39.81624181309617
101000.0,8.18328212974946,-39.6358850373778,-39.6358850373756,-39.63588503737785,-39.63588503737558
102000.0,8.26430472509352,-39.4752119264448,-39.47521192644214,-39.47521192644477,-39.47521192644214
103000.0,8.34532732043757,-39.3689870288909,-39.36898702888811,-39.36898702889095,-39.36898702888811
104000.0,8.42634991578163,-39.3395403243932,-39.33954032439325,-39.33954032439594,-39.33954032439327
105000.0,8.50737251112568,-39.3975680232968,-39.397568023296785,-39.3975680232987,-39.39756802329685
106000.0,8.58839510646974,-39.5430231719461,-39.54302317194608,-39.54302317194581,-39.543023171946075
107000.0,8.66941770181379,-39.7652672417774,-39.76526724177714,-39.76526724177201,-39.765267241777195
108000.0,8.75044029715784,-40.0426366366549,-40.042636636654116,-40.04263663665482,-40.04263663665419
109000.0,8.8314628925019,-40.3425750702368,-40.34257507023513,-40.34257507023675,-40.34257507023525
110000.0,8.91248548784595,-40.6245840356472,-40.62458403564396,-40.62458403564709,-40.62458403564406
111000.0,8.99350808319,-40.8487299015215,-40.84872990151548,-40.848729901521125,-40.84872990151574
112000.0,9.07453067853406,-40.9909334146012,-40.990933414601486,-40.990933414610915,-40.990933414601514
113000.0,9.15555327387811,-41.0644577869494,-41.06445778694982,-41.064457786965285,-41.064457786950115
114000.0,9.23657586922217,-41.1633598361567,-41.16335983615733,-41.16335983618082,-41.16335983615766
115000.0,9.31759846456622,-41.7668117704111,-41.7668117704124,-41.76681177044878,-41.766811770412716
116000.0,9.39862105991028,-38.1642137798247,-38.16421377982577,-38.16421377985568,-38.16421377982594
117000.0,9.47964365525433,-39.036852350402,-39.036852350404246,-39.03685235040198,-39.03685235040441
118000.0,9.56066625059838,-39.2881481391077,-39.28814813911131,-39.288148139107044,-39.28814813911116
119000.0,9.64168884594244,-39.3880363086692,-39.388036308674074,-39.38803630866859,-39.38803630867394
120000.0,9.72271144128649,-39.5026416945861,-39.502641694592434,-39.50264169458548,-39.502641694592384
121000.0,9.80373403663055,-39.6712847566276,-39.6712847566273,-39.6712847566186,-39.67128475662727
122000.0,9.8847566319746,-39.898559526349,-39.89855952634843,-39.8985595263378,-39.89855952634851
123000.0,9.96577922731866,-40.1716310278616,-40.17163102786101,-40.171631027849095,-40.17163102786104
124000.0,10.0468018226627,-40.465661842683,-40.465661842682366,-40.46566184266966,-40.4656618426824
125000.0,10.1278244180068,-40.7482194988185,-40.74821949881795,-40.74821949881858,-40.74821949881796
126000.0,10.2088470133508,-40.986358996541,-40.986358996540766,-40.98635899654112,-40.986358996540766
127000.0,10.2898696086949,-41.1569616588281,-41.15696165882877,-41.15696165882835,-41.1569616588287
128000.0,10.3708922040389,-41.257369977093,-41.25736997709501,-41.25736997709361,-41.25736997709518
129000.0,10.451914799383,-41.3116639482587,-41.31166394825832,-41.31166394825474,-41.3116639482586
130000.0,10.532937394727,-41.3716637697957,-41.37166376979542,-41.37166376978841,-41.37166376979552
131000.0,10.6139599900711,-41.5203964100997,-41.52039641009886,-41.52039641008707,-41.520396410099195
132000.0,10.6949825854151,-41.8998752076296,-41.89987520762833,-41.89987520761015,-41.89987520762871
133000.0,10.7760051807592,-42.8375447510455,-42.837544751045435,-42.83754475101575,-42.837544751044206
134000.0,10.8570277761032,-45.518680210925,-45.51868021092407,-45.518680210934235,-45.518680210922675
135000.0,10.9380503714473,-59.271826177403,-59.271826177422085,-59.271826177447466,-59.271826177423506
136000.0,11.0190729667914,-43.207378750734,-43.20737875073452,-43.20737875072104,-43.20737875073401
137000.0,11.1000955621354,-39.9737589436191,-39.97375894361597,-39.9737589436172,-39.97375894361601
138000.0,11.1811181574795,-39.6525095202242,-39.65250952022437,-39.6525095202291,-39.65250952022443
139000.0,11.2621407528235,-39.8367212486633,-39.83672124866365,-39.8367212486703,-39.83672124866368
140000.0,11.3431633481676,-40.0326548181013,-40.03265481810158,-40.032654818108995,-40.03265481810167
141000.0,11.4241859435116,-39.7140840552834,-39.71408405528349,-39.714084055289156,-39.71408405528358
142000.0,11.5052085388557,-38.9608490839014,-38.96084908390121,-38.96084908390573,-38.960849083901635
143000.0,11.5862311341997,-38.8902728258372,-38.89027282583677,-38.89027282583942,-38.8902728258373
144000.0,11.6672537295438,-38.9570066204094,-38.95700662040855,-38.9570066204094,-38.957006620409146
145000.0,11.7482763248878,-38.9614574301463,-38.961457430144534,-38.961457430146105,-38.961457430145316
146000.0,11.8292989202319,-38.9258336569175,-38.92583365691459,-38.92583365691734,-38.92583365691533
147000.0,11.910321515576,-38.8882089100064,-38.88820891000679,-38.88820891001001,-38.88820891000641
148000.0,11.99134411092,-38.8770719582326,-38.877071958233245,-38.8770719582391,-38.87707195823283
149000.0,12.0723667062641,-38.9097914705776,-38.90979147057747,-38.90979147058823,-38.90979147057803
150000.0,12.1533893016081,-38.9935358487576,-38.99353584875787,-38.993535848774755,-38.99353584875842
151000.0,12.2344118969522,-39.12614234411,-39.1261423441108,-39.126142344136476,-39.12614234411138
152000.0,12.3154344922962,-39.296765281838,-39.29676528183981,-39.29676528187758,-39.296765281840116
153000.0,12.3964570876403,-39.4867412188851,-39.48674121888804,-39.486741218884816,-39.4867412188883
154000.0,12.4774796829843,-39.6714826947219,-39.67148269472638,-39.6714826947217,-39.67148269472662
155000.0,12.5585022783284,-39.8242524308501,-39.82425243085662,-39.824252430849945,-39.82425243085684
156000.0,12.6395248736724,-39.921961070673,-39.92196107067258,-39.92196107066295,-39.92196107067245
157000.0,12.7205474690165,-39.9515843579762,-39.95158435797557,-39.95158435796328,-39.95158435797548
158000.0,12.8015700643606,-39.9144228137941,-39.914422813793095,-39.91442281377793,-39.91442281379311
159000.0,12.8825926597046,-39.8259179259542,-39.82591792595295,-39.82591792593541,-39.825917925953085
160000.0,12.9636152550487,-39.7112903840353,-39.711290384033894,-39.71129038401318,-39.71129038403399
161000.0,13.0446378503927,-39.5997403747488,-39.599740374747334,-39.599740374725,-39.59974037474741
162000.0,13.1256604457368,-39.5206834911602,-39.52068349115854,-39.52068349113517,-39.5206834911587
163000.0,13.2066830410808,-39.5071230437084,-39.5071230437068,-39.50712304370865,-39.507123043707
164000.0,13.2877056364249,-39.6427147844928,-39.64271478449135,-39.642714784493045,-39.64271478449153
165000.0,13.3687282317689,-39.6758026741638,-39.675802674166455,-39.67580267415813,-39.67580267416537
166000.0,13.449750827113,-39.351005694085,-39.35100569408492,-39.351005694083995,-39.351005694084954
167000.0,13.530773422457,-39.6586879628823,-39.65868796288235,-39.65868796287917,-39.65868796288216
168000.0,13.6117960178011,-39.9708462285631,-39.97084622856295,-39.97084622855668,-39.97084622856275
169000.0,13.6928186131451,-40.3687157021979,-40.368715702197264,-40.36871570218639,-40.36871570219715
170000.0,13.7738412084892,-40.9638644784049,-40.96386447840399,-40.96386447838694,-40.96386447840384
171000.0,13.8548638038333,-42.1029014401669,-42.10290144016585,-42.10290144016659,-42.10290144016557
172000.0,13.9358863991773,-45.1844652610777,-45.18446526107708,-45.184465261076035,-45.184465261076554
173000.0,14.0169089945214,-54.4867835061066,-54.48678350614202,-54.48678350610875,-54.486783506139986
174000.0,14.0979315898654,-44.0428993617593,-44.04289936175957,-44.04289936176251,-44.04289936176011
175000.0,14.1789541852095,-40.838131390364,-40.83813139036458,-40.838131390370656,-40.83813139036444
176000.0,14.2599767805535,-39.8514717827507,-39.851471782751496,-39.851471782760854,-39.851471782751446
177000.0,14.3409993758976,-39.4571643487661,-39.457164348767,-39.457164348778655,-39.457164348766995
178000.0,14.4220219712416,-39.2834511820532,-39.28345118205433,-39.283451182068234,-39.283451182054314
179000.0,14.5030445665857,-39.2241763894061,-39.224176389407305,-39.22417638942311,-39.224176389407326
180000.0,14.5840671619297,-39.2393787444795,-39.23937874448083,-39.23937874449754,-39.23937874448087
181000.0,14.6650897572738,-39.3061323245555,-39.306132324556636,-39.306132324572346,-39.3061323245568
182000.0,14.7461123526178,-39.4042334322535,-39.40423343225434,-39.40423343225456,-39.404233432254564
183000.0,14.8271349479619,-39.5122305665866,-39.512230566586524,-39.512230566587576,-39.51223056658683
184000.0,14.908157543306,-39.6077622653182,-39.607762265319415,-39.60776226532022,-39.6077622653185
185000.0,14.98918013865,-39.6703828265751,-39.670382826576464,-39.670382826579754,-39.67038282657551
186000.0,15.0702027339941,-39.6855956812691,-39.6855956812707,-39.68559568127866,-39.6855956812699
187000.0,15.1512253293381,-39.6483600509073,-39.64836005090958,-39.6483600509232,-39.648360050908636
188000.0,15.2322479246822,-39.5643026960579,-39.56430269606067,-39.56430269608203,-39.5643026960597
189000.0,15.3132705200262,-39.4479267754399,-39.447926775443364,-39.447926775475,-39.44792677544244
190000.0,15.3942931153703,-39.3186758344379,-39.31867583444263,-39.3186758344875,-39.31867583444156
191000.0,15.4753157107143,-39.1965528068135,-39.196552806819504,-39.1965528068148,-39.19655280681843
192000.0,15.5563383060584,-39.0986547351579,-39.098654735165496,-39.09865473515914,-39.098654735164494
